,prediction,real,error
0,[150.4468231201172],[157.9],-0.0472018801765853
1,[283.7783508300781],[310.63],-0.08644254956031894
2,[70.66712188720703],[72.11],-0.020009403866217836
3,[125.1286849975586],[145.6],-0.1405996909508338
4,[86.38500213623047],[87.38],-0.011387020642819028
5,[70.78833770751953],[76.23],-0.07138478673068965
6,[24.553058624267578],[17.3],0.4192519435992819
7,[124.9587631225586],[129.62],-0.035960784427105465
8,[175.5115203857422],[201.55],-0.12919116653067636
9,[83.2162857055664],[85.08],-0.021905433644024353
10,[32.128517150878906],[27.74],0.15820177184134493
11,[150.30618286132812],[153.03],-0.01779923635020503
12,[183.51429748535156],[193.42],-0.051213434570615377
13,[243.05641174316406],[252.7],-0.03816220125380264
14,[57.1851921081543],[55.05],0.038786414317062666
15,[98.65261840820312],[103.78],-0.04940625931583037
16,[11.187066078186035],[27.15],-0.5879533672859656
17,[8.947787284851074],[21.31],-0.5801132198568243
18,[70.37798309326172],[52.3],0.34565933256714576
19,[108.73287200927734],[110.68],-0.01759241046912417
20,[117.37964630126953],[134.75],-0.1289080051853838
21,[79.27055358886719],[84.24],-0.05899152909701814
22,[198.6489715576172],[210.22],-0.055042471897929844
23,[27.479557037353516],[21.4],0.2840914503436223
24,[87.22240447998047],[95.05],-0.0823523989481276
25,[40.53474807739258],[40.75],-0.005282255769507286
26,[55.52376937866211],[57.85],-0.04021141955640263
27,[16.989946365356445],[25.7],-0.33891259278768693
28,[101.1684799194336],[105.57],-0.041692905944552425
29,[72.39522552490234],[73.67],-0.01730384790413544
30,[111.71263885498047],[140.73],-0.20619172276713937
31,[39.26969528198242],[45.0],-0.12734010484483507
32,[42.83720397949219],[53.75],-0.20302876317223836
33,[70.39771270751953],[81.75],-0.13886589960220758
34,[28.819869995117188],[52.7],-0.45313339667709324
35,[225.19021606445312],[243.32],-0.07451004412110336
36,[105.02698516845703],[102.8],0.021663279848803833
37,[11.037956237792969],[5.55],0.9888209437464809
38,[192.10755920410156],[194.55],-0.012554308896933687
39,[260.0830383300781],[274.38],-0.05210642783702118
40,[91.97980499267578],[98.5],-0.06619487317080425
41,[168.93399047851562],[176.66],-0.04373377969820204
42,[68.48614501953125],[121.33],-0.4355382426478921
43,[105.56104278564453],[108.73],-0.029145196489979514
44,[36.83145523071289],[43.0],-0.14345452951830487
45,[198.4608917236328],[205.2],-0.03284165826689657
46,[117.35357666015625],[113.38],0.03504653960271877
47,[212.03546142578125],[213.66],-0.00760338188813417
48,[24.000314712524414],[5.25],3.571488516671317
49,[91.48240661621094],[84.48],0.08288833589264835
50,[90.91754150390625],[88.02],0.03291912637930305
51,[135.86407470703125],[125.63],0.08146202902993914
52,[87.21424102783203],[89.33],-0.0236847528508672
53,[64.30457305908203],[65.0],-0.010698876014122597
54,[108.83726501464844],[107.78],0.009809473136467215
55,[109.75666809082031],[113.25],-0.030846197873551324
56,[269.313720703125],[284.85],-0.054541966989204924
57,[89.05657196044922],[90.45],-0.015405506241578597
58,[25.061525344848633],[15.59],0.6075385083289694
59,[90.53665924072266],[90.65],-0.001250311740511301
60,[74.59387969970703],[77.15],-0.033131825019999665
61,[96.41183471679688],[114.5],-0.15797524264806223
62,[93.56035614013672],[130.35],-0.2822373905628176
63,[65.21054077148438],[66.5],-0.019390364338580827
64,[86.8415298461914],[72.98],0.18993600775817213
65,[207.85609436035156],[212.53],-0.021991745351942968
66,[105.64167022705078],[107.78],-0.01983976408377454
67,[75.42100524902344],[79.08],-0.04626953402853517
68,[12.180174827575684],[30.17],-0.5962819082672959
69,[140.57492065429688],[165.22],-0.14916523027298828
70,[225.08811950683594],[244.22],-0.07833871301762371
71,[60.62619400024414],[60.6],0.000432244228451142
72,[54.92683029174805],[54.03],0.016598746839682505
73,[135.06834411621094],[138.02],-0.02138571137363478
74,[280.65106201171875],[293.81],-0.04478723660964995
75,[211.05941772460938],[234.6],-0.10034348795989181
76,[214.7988739013672],[212.95],0.008682197235816853
77,[130.06504821777344],[135.5],-0.040110345256284596
78,[89.52729034423828],[90.6],-0.011840062425625972
79,[221.57546997070312],[233.8],-0.05228627044181731
80,[97.7873764038086],[120.4],-0.18781248834046022
81,[255.0037841796875],[270.9],-0.05867927582248977
82,[10.763825416564941],[9.2],0.16998102353966763
83,[92.3144302368164],[103.45],-0.10764204700999126
84,[11.00704574584961],[26.1],-0.5782741093544211
85,[212.56617736816406],[221.0],-0.0381620933567237
86,[95.0971450805664],[99.64],-0.04559268285260532
87,[65.02686309814453],[73.35],-0.1134715324043008
88,[168.4113006591797],[173.25],-0.027929000524215368
89,[196.09336853027344],[210.27],-0.06742108465176475
90,[177.51658630371094],[181.75],-0.023292510020847663
91,[51.561214447021484],[53.31],-0.032804080903742594
92,[39.8791618347168],[41.04],-0.02828553034315795
93,[69.6043701171875],[72.65],-0.04192195296369588
94,[149.6138458251953],[156.0],-0.040936885735927485
95,[123.65312957763672],[144.59],-0.1448016489547222
96,[67.78765106201172],[71.67],-0.054169791237453364
97,[9.505780220031738],[6.45],0.47376437519871906
98,[130.9082489013672],[132.52],-0.012162323412562803
99,[87.00243377685547],[93.35],-0.06799749569517435
100,[159.78297424316406],[160.0],-0.0013564109802246093
101,[123.97102355957031],[113.38],0.09341174421917726
102,[124.89386749267578],[118.41],0.05475776955219817
103,[122.8191909790039],[130.4],-0.058135038504571315
104,[85.4537582397461],[63.09],0.3544738982365841
105,[67.70514678955078],[53.8],0.25845997750094396
106,[207.1637420654297],[216.35],-0.04246017071675668
107,[9.497150421142578],[9.9],-0.04069187665226487
108,[29.31995964050293],[52.6],-0.44258631862161735
109,[48.37937545776367],[50.07],-0.03376521953737424
110,[108.8663558959961],[117.3],-0.07189807420293183
111,[177.1479949951172],[201.41],-0.12046077654973839
112,[186.34678649902344],[221.81],-0.1598810400837499
113,[70.56194305419922],[70.5],0.000878624882258422
114,[53.938026428222656],[50.11],0.07639246514114262
115,[74.66211700439453],[83.41],-0.10487810808782479
116,[9.616034507751465],[14.61],-0.34181830884658004
117,[76.07706451416016],[80.0],-0.049036693572998044
118,[73.8130874633789],[75.39],-0.020916733474215337
119,[86.18321228027344],[83.64],0.030406650888013354
120,[277.47796630859375],[306.78],-0.0955148109114226
121,[27.3043212890625],[18.14],0.5051996300475469
122,[147.84400939941406],[158.37],-0.06646454884502079
123,[137.61778259277344],[137.93],-0.0022635931793414726
124,[169.21128845214844],[177.3],-0.045621610534977854
125,[102.33712005615234],[101.21],0.011136449522303627
126,[138.5119171142578],[145.5],-0.04802806107039304
127,[57.03678512573242],[65.88],-0.13423216263308402
128,[176.233154296875],[188.42],-0.06467915138055932
129,[252.40110778808594],[267.5],-0.05644445686696846
130,[70.94649505615234],[73.67],-0.0369689825417084
131,[58.316471099853516],[60.8],-0.04084751480504081
132,[79.76738739013672],[83.32],-0.04263817342610748
133,[215.96363830566406],[223.95],-0.03566136054626446
134,[109.8125228881836],[113.3],-0.030780910077814683
135,[102.50630950927734],[107.5],-0.046452934797420055
136,[13.700029373168945],[11.6],0.1810370149283574
