symbol,optionType,expiration,strike,lastPrice,lastTradeDate,inTheMoney
AAPL,calls,2023-11-24,50.0,141.35,2023-11-20,True
AAPL,calls,2023-11-24,75.0,100.21,2023-11-03,True
AAPL,calls,2023-11-24,90.0,81.35,2023-11-01,True
AAPL,calls,2023-11-24,95.0,77.1,2023-10-25,True
AAPL,calls,2023-11-24,100.0,85.83,2023-11-10,True
AAPL,calls,2023-11-24,105.0,67.15,2023-10-25,True
AAPL,calls,2023-11-24,110.0,81.5,2023-11-20,True
AAPL,calls,2023-11-24,115.0,75.29,2023-11-16,True
AAPL,calls,2023-11-24,120.0,69.22,2023-11-17,True
AAPL,calls,2023-11-24,125.0,64.52,2023-11-17,True
AAPL,calls,2023-11-24,130.0,48.95,2023-11-06,True
AAPL,calls,2023-11-24,135.0,55.04,2023-11-17,True
AAPL,calls,2023-11-24,140.0,51.78,2023-11-20,True
AAPL,calls,2023-11-24,145.0,46.85,2023-11-20,True
AAPL,calls,2023-11-24,150.0,39.93,2023-11-17,True
AAPL,calls,2023-11-24,155.0,36.67,2023-11-20,True
AAPL,calls,2023-11-24,157.5,31.8,2023-11-16,True
AAPL,calls,2023-11-24,160.0,31.45,2023-11-20,True
AAPL,calls,2023-11-24,162.5,27.49,2023-11-17,True
AAPL,calls,2023-11-24,165.0,26.6,2023-11-20,True
AAPL,calls,2023-11-24,167.5,23.46,2023-11-20,True
AAPL,calls,2023-11-24,170.0,21.5,2023-11-20,True
AAPL,calls,2023-11-24,172.5,19.22,2023-11-20,True
AAPL,calls,2023-11-24,175.0,16.64,2023-11-20,True
AAPL,calls,2023-11-24,177.5,14.21,2023-11-20,True
AAPL,calls,2023-11-24,180.0,11.55,2023-11-20,True
AAPL,calls,2023-11-24,182.5,9.1,2023-11-20,True
AAPL,calls,2023-11-24,185.0,6.7,2023-11-20,True
AAPL,calls,2023-11-24,187.5,4.3,2023-11-20,True
AAPL,calls,2023-11-24,190.0,2.22,2023-11-20,True
AAPL,calls,2023-11-24,192.5,0.8,2023-11-20,False
AAPL,calls,2023-11-24,195.0,0.2,2023-11-20,False
